id,name,classification,subclassification,date,type,contract_count_buyer,contract_count_supplier,contract_count_funder,contract_amount_buyer,contract_amount_supplier,contract_amount_funder,purchase_count_buyer,purchase_count_supplier,purchase_count_funder,purchase_amount_buyer,purchase_amount_supplier,purchase_amount_funder,other_names,country,source_id,sourceRun_id,id_RFC,legalName_RFC,uri_RFC,verified_RFC,id_RUPC,legalName_RUPC,uri_RUPC,verified_RUPC
precitubo-sa-de-cv,PRECITUBO SA DE CV,company,profit,2019-01-24T01:17:00.000Z,organizations,0,116,0,0,5205404950,0,0,0,0,0,0,0,"PRECITUBO, S.A. DE C.V.",México,"compranet
compranet3
pot",compranet-1620524637144,UAN691126MK2,UNIVERSIDAD AUTONOMA DE NUEVO LEON,,1,,,,
equipos-y-servicios-vica-sa-de-cv,"EQUIPOS Y SERVICIOS VICA, S.A. DE C.V.",company,profit,2021-05-09T00:24:27.000Z,organizations,0,123,0,0,5185341349,0,0,0,0,0,0,0,EQUIPOS Y SERVICIOS VICA SA DE CV,México,"compranet3
pot",compranet3-1620530467436,,,,,,,,
it-servicios-de-infocomunicacion-sa,IT Servicios de Infocomunicación S.A.,company,profit,2021-11-28T01:37:26.000Z,organizations,0,47,0,0,5156660759,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,,,,,,,,
ediciones-castillo-sa-de-cv,EDICIONES CASTILLO SA DE CV,company,profit,2019-01-24T01:16:35.000Z,organizations,0,211,0,0,5137700825,0,0,0,0,0,0,0,"EDICIONES CASTILLO, S.A DE C.V.
EDICIONES CASTILLO, S.A. DE C.V.
EDICIONES CASTILLO S.A. DE C.V.
EDICIONES CASTILLO S.A DE C.V.",México,"compranet
compranet3
pot",compranet-1620524637144,ACO0207083A9,ALZ CONSTRUCCIONES SA DE CV,,1,,,,
general-electric-international-operations-company-inc,GENERAL ELECTRIC INTERNATIONAL OPERATIONS COMPANY INC,company,,2019-01-24T01:16:35.000Z,organizations,0,133,0,0,5133420354,0,0,0,0,0,0,0,"GENERAL ELECTRIC INTERNATIONAL OPERATIONS COMPANY INC.
GENERAL ELECTRIC INTERNATIONAL OPERATIONS COMPANY, INC",México,"compranet
compranet3",compranet-1620524637144,,,,,,,,
mapfre-tepeyac-sa,"Mapfre Tepeyac, S.A.",company,profit,2019-01-24T01:16:35.000Z,organizations,0,140,0,0,5091332857,0,0,8,0,0,46829332,0,"MAPFRE TEPEYAC S.A
MAPFRE Tepeyac, S.A.
MAPFRE TEPEYAC S.A.
MAPFRE TEPEYAC SA
MAPFRE TEPEYAC, S.A.
MAPFRE TEPEYAC S. A.
MAPFRE TEPEYAC S A
Mapfre Tepeyac S.A.",México,"compranet
compranet3
pot
comprasimss",compranet-1620524637144,DIB0306171I1,"DIBITER, S.A. DE C.V.",,1,,,,
jaguar-ingenieros-constructores-sa-de-cv,JAGUAR INGENIEROS CONSTRUCTORES SA DE CV,company,profit,2019-01-24T01:16:35.000Z,organizations,0,66,0,0,5084688525,0,0,0,0,0,0,0,"JAGUAR INGENIEROS CONSTRUCTORES, S.A. DE C.V.
Jaguar Ingenieros Constructores, S.A. de C.V.
JAGUAR INGENIEROS CONSTRUCTORES, S.A DE C.V.
JAGUAR INGENIEROS CONSTRUCTORES S.A DE C.V.
JAGUAR INGENIEROS CONSTRUCTORES S.A. DE C.V.
JAGUAR INGENIEROS CONSTRUCTORES S A DE C V
Jaguar Ingenieros Constructores S.A. de C.V.",México,"compranet
tdc
compranet3
pot",compranet-1620524637144,,,,,15344,JAGUAR INGENIEROS CONSTRUCTORES SA DE CV,https://sites.google.com/site/cnetrupc/rupc,
esma-instalaciones-sa-de-cv,"ESMA INSTALACIONES, S.A. DE C.V.",company,profit,2019-01-24T01:16:35.000Z,organizations,0,123,0,0,5082108553,0,0,0,0,0,0,0,"ESMA INSTALACIONES SA DE CV
ESMA INSTALACIONES S.A. DE C.V.
ESMA INSTALACIONES S.A DE C.V
Esma Instalaciones S.A. de C.V.
ESMA INSTALACIONES S.A DE C.V.
ESMA INSTALACIONES S.A. DE C.V",México,"compranet
pot",compranet-1620524637144,,,,,,,,
servicios-integrales-gsm-s-de-rl-de-cv,SERVICIOS INTEGRALES GSM S DE RL DE CV,company,profit,2019-01-24T01:17:00.000Z,organizations,0,3,0,0,5074497323,0,0,0,0,0,0,0,"SERVICIOS INTEGRALES GSM, S DE R. L. DE C.V.",México,"compranet
compranet3",compranet-1620524637144,,,,,,,,
netway-sociedad-anonima,NETWAY SOCIEDAD ANONIMA,company,,2021-11-28T01:38:18.000Z,organizations,0,186,0,0,5072397928,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,ECA031114DB1,EDICIONES CASTILLO SA DE CV,,1,,,,
construcciones-mecanicas-monclova-sa-de-cv,"CONSTRUCCIONES MECÁNICAS MONCLOVA, S.A. DE C.V.",company,profit,2021-05-09T03:21:07.000Z,organizations,0,20,0,0,5071403357,0,0,0,0,0,0,0,"CONSTRUCCIONES MECANICAS MONCLOVA, S.A. DE C.V.",México,compranet3,compranet3-1620530467436,,,,,,,,
soluciones-seguras-sscr-sociedad-anonima,SOLUCIONES SEGURAS SSCR SOCIEDAD ANONIMA,company,,2021-11-28T01:38:18.000Z,organizations,0,112,0,0,5067636931,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,MTE440316E54,MAPFRE TEPEYAC SA,,,,,,
viajes-y-servicios-turisticos-san-carlos-sa-de-cv,VIAJES Y SERVICIOS TURISTICOS SAN CARLOS S.A. DE C.V,company,profit,2019-01-24T01:17:46.000Z,organizations,0,2,0,0,5056557200,0,0,0,0,0,0,0,"VIAJES Y SERVICIOS TURISTICOS SAN CARLOS, S.A. DE C.V.",México,"compranet
compranet3",compranet-1620524637144,JIC011114MX7,JAGUAR INGENIEROS CONSTRUCTORES SA DE CV,,1,,,,
molina-arce-construccion-y-consultoria-sociedad-anonima,MOLINA ARCE CONSTRUCCION Y CONSULTORIA SOCIEDAD ANONIMA,company,,2021-11-28T01:40:21.000Z,organizations,0,16,0,0,5043487317,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,EIN900430AH4,ESMA INSTALACIONES SA DE CV,,1,,,,
cemex-concretos-sa-de-cv,CEMEX CONCRETOS SA DE CV,company,profit,2019-01-24T01:17:00.000Z,organizations,0,503,0,0,5033820839,0,0,0,0,0,0,0,"CEMEX CONCRETOS, S.A. DE C.V.
CEMEX CONCRETOS, S. A. DE C. V.
CEMEX CONCRETOS S.A. DE C.V.",México,"compranet
compranet3
pot",compranet-1620524637144,,,,,41409,CEMEX CONCRETOS SA DE CV,https://sites.google.com/site/cnetrupc/rupc,
constructora-altamirano-batista-sociedad-anonima,CONSTRUCTORA ALTAMIRANO BATISTA SOCIEDAD ANONIMA,company,,2021-11-28T01:38:18.000Z,organizations,0,114,0,0,5030565679,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,,,,,,,,
maritima-de-ecologia-sa-de-cv,"MARITIMA DE ECOLOGIA, S.A. DE C.V.",company,profit,2021-05-09T03:21:07.000Z,organizations,0,8,0,0,5029232637,0,0,0,0,0,0,0,,México,compranet3,compranet3-1620530467436,,,,,,,,
radiografica-costarricense-sa,Radiográfica Costarricense S.A.,company,profit,2021-11-28T01:40:21.000Z,organizations,0,47,0,0,5011090006,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,,,,,,,,
dragados-offshore-de-mexico-sa-de-cv,"DRAGADOS OFFSHORE DE MÉXICO, S.A. DE C.V.",company,profit,2021-05-09T03:21:07.000Z,organizations,0,4,0,0,5010599558,0,0,0,0,0,0,0,,México,compranet3,compranet3-1620530467436,,,,,,,,
sdh-cy-producciones-sociedad-anonima,SDH CY PRODUCCIONES SOCIEDAD ANONIMA,company,,2021-11-28T01:47:07.000Z,organizations,0,4,0,0,5008999183,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,,,,,,,,
industria-jhon-crane-de-mexico-sa-de-cv,"INDUSTRIA JHON CRANE DE MEXICO, S.A. DE C.V.",company,profit,2021-05-09T03:21:07.000Z,organizations,0,413,0,0,5008139252,0,0,0,0,0,0,0,,México,compranet3,compranet3-1620530467436,CCO7409189M1,CEMEX CONCRETOS SA DE CV,,1,,,,
triaracom-sa-de-cv,"TRIARA.COM, S.A. DE C.V.",company,profit,2019-01-24T01:17:00.000Z,organizations,0,63,0,0,4966813823,0,0,0,0,0,0,0,"TRIARA.COM SA DE CV
TRIARA.COM, S.A DE C.V
TRIARA.COM S.A. DE C.V.
TRIARACOM SA DE CV
TRIARA.COM S.A. de C.V.",México,"compranet
compranet3
pot",compranet-1620524637144,,,,,17742,TRIARA.COM SA DE CV,https://sites.google.com/site/cnetrupc/rupc,
r&m-queretaro-san-luis-sa-de-cv,"R&M QUERETARO-SAN LUIS, S.A. DE C.V.",company,profit,2019-01-24T01:17:00.000Z,organizations,0,1,0,0,4963947786,0,0,0,0,0,0,0,,México,compranet,compranet-1620524637144,,,,,,,,
galia-textil-sa-de-cv,"Galia Textil, S.A. de C.V.",company,profit,2019-01-24T01:16:35.000Z,organizations,0,1591,0,0,4960750140,0,0,3064,0,0,2586577072,0,"GALIA TEXTIL SA DE CV
GALIA TEXTIL, S.A. DE C.V.
GALIA TEXTIL, SA DE CV
GALIA TEXTIL SA. DE CV.
GALIA TEXTIL,S.A. DE C.V.
GALIA TEXTIL S.A. DE C.V.
Galia Textil S. A. de C. V.
GALIA TEXTIL S.A. DE C.V
GALIA TEXTIL S A DE C V
Galia Textil S.A. de C.V.
GALIA TEXTIL, S. A. DE C. V.",México,"compranet
compranet3
pot
comprasimss",compranet-1620524637144,,,,,180,GALIA TEXTIL SA DE CV,https://sites.google.com/site/cnetrupc/rupc,
grupo-pipsamex-sa-de-cv,"GRUPO PIPSAMEX, S.A. DE C.V.",company,profit,2021-05-09T00:24:27.000Z,organizations,0,167,0,0,4948466961,0,0,0,0,0,0,0,GRUPO PIPSAMEX S.A. DE C.V.,México,"compranet3
pot",compranet3-1620530467436,,,,,,,,
price-waterhouse-coopers-consultores-sociedad-anonima,PRICE WATERHOUSE COOPERS CONSULTORES SOCIEDAD ANONIMA,company,,2021-11-28T01:37:43.000Z,organizations,0,38,0,0,4903672002,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,,,,,,,,
fresenius-kabi-mexico-sa-de-cv,"FRESENIUS KABI MEXICO, SA DE CV",company,profit,2019-01-24T01:16:35.000Z,organizations,0,2438,0,0,4892740078,0,0,1961,0,0,1463460673,0,"FRESENIUS KABI MEXICO, S.A. DE C.V.
FRESENIUS KABI MÉXICO, S.A. DE C.V.
FRESENIUS KABI MEXICO S.A DE C.V
FRESENIUS KABI MEXICO S.A. DE C.V.
Fresenius Kabi México, S.A. de C.V.
FRESENIUS KABI MEXICO, SA. DE C.V.
Fresenius Kabi México S. A. de C. V.
FRESENIUS KABI MÉXICO S.A. DE C.V.
FRESENIUS KABI MÉXICO S.A. DE C.V
Fresenius Kabi México S.A. de C.V.
FRESENIUS KABI MEXICO S A DE C V
FRESENIUS KABI MEXICO S.A. DE C. V.
FRESENIUS KABI MEXICO SA DE CV
FRESENIUS KABI MEXICO S. A. DE C. V.
Fresenius Kabi México S.A. DE C.V.
FRESENIUS KABI MEXICO, S. A. DE C. V.",México,"compranet
compranet3
pot
comprasimss",compranet-1620524637144,,,,,473,"FRESENIUS KABI MEXICO, SA DE CV",https://sites.google.com/site/cnetrupc/rupc,
elevadores-schindler-sociedad-anonima,ELEVADORES SCHINDLER SOCIEDAD ANONIMA,company,,2021-11-28T01:37:12.000Z,organizations,0,154,0,0,4884477245,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,TCO0009128J1,TRIARA.COM SA DE CV,,1,,,,
integracion-de-soluciones-electricas-y-de-mantenimiento-intelicam-sa-de-cv,"INTEGRACION DE SOLUCIONES ELECTRICAS Y DE MANTENIMIENTO, INTELICAM SA DE CV",company,profit,2019-01-24T01:16:35.000Z,organizations,0,77,0,0,4870532324,0,0,0,0,0,0,0,"Integración de Soluciones Eléctricas y de Mantenimiento, INTELICAM, S.A. de C.V.",México,compranet,compranet-1620524637144,,,,,,,,
aerovias-de-mexico,AEROVIAS DE MEXICO,company,,2019-01-24T01:16:35.000Z,organizations,0,282,0,0,4870265944,0,0,0,0,0,0,0,AEROVIAS DE MÉXICO,México,"compranet
pot",compranet-1620524637144,GTE840618IJ7,GALIA TEXTIL SA DE CV,,1,11618,AEROVIAS DE MEXICO,https://sites.google.com/site/cnetrupc/rupc,
ge-sistemas-medicos-de-mexico-sa-de-cv,GE Sistemas Médicos de México SA de CV,company,profit,2019-01-24T01:16:35.000Z,organizations,0,927,0,0,4865793405,0,0,240,0,0,"983039229,8",0,"GE SISTEMAS MEDICOS DE MEXICO SA DE CV
GE SISTEMAS MEDICOS DE MEXICO, S.A. DE C.V.
GE SISTEMAS MEDICOS DE MEXICO, S.A DE C.V
GE SISTEMAS MEDICOS DE MEXICO S.A.DE C.V.
GE SISTEMAS MÉDICOS DE MÉXICO, S.A. DE C.V.
GE SISTEMAS MEDICOS DE MEXICO S.A. DE C.V.
GE SISTEMAS MEDICOS DE MEXICO S. A. DE C. V.
GE SISTEMAS MÉDICOS DE MÉXICO S.A. DE C.V.
GE Sistemas Médicos de México S.A. de C.V.
GE SISTEMAS MÉDICOS DE MÉXICO S. A. DE C. V.
G.E. SISTEMAS MEDICOS DE MEXICO S.A. DE C.V.
GE Sistemas Médicos de México S.A de C.V..
GE SISTEMAS MÉDICOS DE MÉXICO S.A DE C.V.
GE SISTEMAS MÉDICOS DE MEXICO S.A. DE C.V.
GE Sistemas Médicos de México S. A. de C. V.
GE SISTEMAS MEDICOS DE MEXICO S.A DE C.V.
G.E. SISTEMAS MÉDICOS DE MEXICO S.A. DE C.V.
GE SISTEMAS MÉDICOS DE MÉXICO S.A. DE C..V
GE SISTEMAS MEDICOS DE MEXICO S.A DE C.V
GE SISTEMAS MEDICOS DE MEXICO S A DE C V
GE sistemas médicos de México S.A. de C.V.
GE SISTEMAS MEDICOS DE MÉXICO S.A. DE C.V.
GE SISTEMAS MEDICOS DE MEXICOSA DE CV
GE. SISTEMAS MEDICOS DE MÉXICO S.A. DE C.V.
G.E. SISTEMAS MEDICOS DE MEXICO SA DE CV",México,"compranet
compranet3
pot
comprasimss",compranet-1620524637144,,,,,655,GE Sistemas Médicos de México SA de CV,https://sites.google.com/site/cnetrupc/rupc,
saga-ingenieria-sociedad-anonima,SAGA INGENIERIA SOCIEDAD ANONIMA,company,,2021-11-28T01:47:07.000Z,organizations,0,11,0,0,4843755180,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,,,,,,,,
gpa-energy-sa-de-cv,"GPA ENERGY, S.A. DE C.V.",company,profit,2021-05-09T03:21:07.000Z,organizations,0,1,0,0,4843378857,0,0,0,0,0,0,0,,México,compranet3,compranet3-1620530467436,FKM4801155G8,"FRESENIUS KABI MEXICO, SA DE CV",,1,,,,
desarrollo-y-construcciones-urbanas-sa-de-cv,DESARROLLO Y CONSTRUCCIONES URBANAS SA DE CV,company,profit,2019-01-24T01:17:00.000Z,organizations,0,51,0,0,4829874113,0,0,0,0,0,0,0,"DESARROLLO Y CONSTRUCCIONES URBANAS, S.A. DE C.V.
Desarrollo y Construcciones Urbanas, S.A. de C.V.",México,"compranet
compranet3
pot",compranet-1620524637144,,,,,,,,
cooperativa-de-autogestion-de-servicios-integrados-de-salud-de-barva-rl,COOPERATIVA DE AUTOGESTION DE SERVICIOS INTEGRADOS DE SALUD DE BARVA R.L.,company,,2021-11-28T01:53:02.000Z,organizations,0,2,0,0,4821188329,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,,,,,,,,
ecosistemas-de-construccion-sociedad-anonima,ECOSISTEMAS DE CONSTRUCCION SOCIEDAD ANONIMA,company,,2021-11-28T01:38:18.000Z,organizations,0,10,0,0,4809499534,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,AME880912I89,AEROVIAS DE MEXICO,,1,,,,
obras-y-pavimentos-ferhec-sa-de-cv,OBRAS Y PAVIMENTOS FERHEC SA DE CV,company,profit,2019-01-24T01:16:35.000Z,organizations,0,152,0,0,4801991921,0,0,0,0,0,0,0,"OBRAS Y PAVIMENTOS FERHEC, S.A. DE C.V.
OBRAS Y PAVIMENTOS FERHEC, S.A. DE C.V.-
OBRAS Y PAVIMENTOS FERHEC, S. A. DE C. V.
OBRAS Y PAVIMENTOS FERHEC S.A. DE C.V.
OBRAS Y PAVIMENTOS FERHEC S.A. DE C.V
OBRAS Y PAVIMENTOS FERHEC S. A. DE C. V
OBRAS Y PAVIMENTOS FERHEC S. A. DE C. V.",México,"compranet
compranet3
pot",compranet-1620524637144,GSM920409JL6,GE Sistemas Médicos de México SA de CV,,1,47959,OBRAS Y PAVIMENTOS FERHEC SA DE CV,https://sites.google.com/site/cnetrupc/rupc,
sistemas-de-computacion-conzultek-de-centroamerica-sociedad-anonima,SISTEMAS DE COMPUTACION CONZULTEK DE CENTROAMERICA SOCIEDAD ANONIMA,company,,2021-11-28T01:38:18.000Z,organizations,0,390,0,0,4793666935,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,,,,,,,,
asociacion-camara-de-productores-de-cana-del-pacifico,ASOCIACION CAMARA DE PRODUCTORES DE CAÑA DEL PACIFICO,company,,2021-11-28T01:40:21.000Z,organizations,0,126,0,0,4789209027,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,,,,,,,,
impulsora-de-servicios-terrestres-sa-de-cv,IMPULSORA DE SERVICIOS TERRESTRES SA DE CV,company,profit,2019-01-24T01:17:46.000Z,organizations,0,4,0,0,4778551107,0,0,0,0,0,0,0,,México,compranet,compranet-1620524637144,DCU801124B41,DESARROLLO Y CONSTRUCCIONES URBANAS SA DE CV,,1,,,,
grupo-nacion-g-n-sociedad-anonima,GRUPO NACION G N SOCIEDAD ANONIMA,company,,2021-11-28T01:37:12.000Z,organizations,0,787,0,0,4771641956,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,,,,,,,,
comercializadora-tecnica-industrial-del-oeste-cotisa-sociedad-anonima,COMERCIALIZADORA TECNICA INDUSTRIAL DEL OESTE COTISA SOCIEDAD ANONIMA,company,,2021-11-28T01:44:21.000Z,organizations,0,17,0,0,4764355776,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,,,,,,,,
t-systems-mexico-sa-de-cv,T-SYSTEMS MEXICO SA DE CV,company,profit,2019-01-24T01:16:35.000Z,organizations,0,28,0,0,4756796426,0,0,0,0,0,0,0,"T SYSTEMS MEXICO S.A. DE C.V.
T-SYSTEMS MÉXICO S.A. DE C.V.
T-SYSTEMS MEXICO S.A. DE C.V.
T-Systems México S.A. de C.V.
T-SYSTEMS MEXICO S.A. C.V.",México,"compranet
compranet3
pot",compranet-1620524637144,OPF990215PQ1,OBRAS Y PAVIMENTOS FERHEC SA DE CV,,1,,,,
agencia-datsun-sociedad-anonima,AGENCIA DATSUN SOCIEDAD ANONIMA,company,,2021-11-28T01:38:18.000Z,organizations,0,117,0,0,4756425159,0,0,0,0,0,0,0,,Costa Rica,sicop,sicop-1638063428447,,,,,,,,
maquinaria-y-asociados-sa-de-cv,"MAQUINARIA Y ASOCIADOS, S.A. DE C.V.",company,profit,2019-01-24T01:18:06.000Z,organizations,0,84,0,0,4751590382,0,0,0,0,0,0,0,"MAQUINARIA Y ASOCIADOS S.A. DE C.V.
MAQUINARIA Y ASOCIADOS S.A. DE C. V.
MAQUINARIA Y ASOCIADOS SA DE CV
MAQUINARIA Y ASOCIADOS S.A DE C.V.
MAQUINARIA Y ASOCIADOS S.A DE C. V.
MAQUINARIA Y ASOCIADOS S.A. DE C.V",México,"compranet
compranet3
pot",compranet-1620524637144,,,,,,,,
controladora-de-operaciones-de-infraestructuras-sa-de-cv,"CONTROLADORA DE OPERACIONES DE INFRAESTRUCTURAS, S.A. DE C.V.",company,profit,2021-05-09T03:21:07.000Z,organizations,0,3,0,0,4739659646,0,0,0,0,0,0,0,,México,compranet3,compranet3-1620530467436,IST011219975,IMPULSORA DE SERVICIOS TERRESTRES SA DE CV,,1,,,,
